ID,Corp,Name,Surname,Gender,DOB,Current_Position,Class,Department,Section,Appointment_Date,Commencement_Date,Confirmed_Appointment,Remarks,Hours_of_Leave_Utilised
30305486M,wking,Matthew,Mitchell,M,"Wednesday, November 14, 1979",Art gallery manager,5,Finance,Support,"Thursday, December 16, 2021","Monday, February 28, 2022",13/08/2024,Transferred,133
31203875M,bhopkins,Aaron,Arnold,M,"Friday, April 4, 1969","Administrator, charities/voluntary organisations",7,IMU,Support,"Monday, June 16, 2025","Sunday, October 11, 2020",-,Pending,23
31779717L,david70,Brian,Gutierrez,M,"Wednesday, May 6, 1987","Surveyor, hydrographic",4,Operations,Logic,"Friday, September 3, 2021","Saturday, January 30, 2021",23/03/2025,New Employee,171
32677360L,ysmith,Derek,Bowers,M,"Friday, April 1, 1966","Programme researcher, broadcasting/film/video",4,Finance,Analysis,"Sunday, August 17, 2025","Thursday, March 7, 2024",-,New Employee,166
32966851L,lopezdon,Franklin,Wright,M,"Thursday, July 16, 1998",Games developer,7,IT,Admin,"Thursday, September 12, 2024","Thursday, June 11, 2020",-,Probation,37
33092327M,elliottj,Michael,Wang,M,"Friday, January 5, 1962",Diplomatic Services operational officer,3,Operations,Logic,"Sunday, April 17, 2022","Thursday, March 11, 2021",26/10/2021,Not Applicable,134
33173936L,kimberly,Joseph,Howard,M,"Sunday, December 11, 1960",Games developer,7,Finance,Analysis,"Monday, November 11, 2024","Sunday, July 30, 2017",-,Transferred,67
34074517M,jasonroj,Melissa,Callahan,F,"Thursday, May 20, 2004",Travel agency manager,3,IT,Admin,"Monday, January 31, 2022","Saturday, June 1, 2019",29/08/2022,Not Applicable,125
34351751M,brettben,Larry,Williams,M,"Friday, May 2, 1986","Buyer, industrial",7,HR,Admin,"Monday, December 23, 2024","Saturday, June 15, 2019",25/09/2023,Probation,32
34540193M,gentrygr,Sonia,Thompson,F,"Saturday, May 23, 1992",Animator,7,IT,Analysis,"Sunday, June 26, 2022","Wednesday, October 28, 2020",21/03/2021,Not Applicable,65
34670656M,marycalh,William,Ferguson,M,"Monday, February 15, 1993","Nurse, mental health",4,Operations,Logic,"Thursday, August 12, 2021","Sunday, March 12, 2023",20/01/2022,Transferred,188
34873471L,jimmy55,Stephanie,Miller,F,"Saturday, July 16, 1977",Dentist,5,HR,Analysis,"Monday, March 14, 2022","Wednesday, July 17, 2019",12/06/2021,Transferred,175
35560932M,angela99,Nathan,Phillips,M,"Thursday, September 10, 1981","Engineer, building services",5,Finance,Admin,"Sunday, February 18, 2024","Tuesday, August 5, 2025",28/12/2022,Transferred,99
36226609M,yvargas,Aaron,Lewis,M,"Monday, May 6, 1991",Health promotion specialist,7,IMU,Logic,"Friday, June 20, 2025","Wednesday, January 30, 2019",05/01/2024,Probation,172
36729466L,schultzn,Brandon,Robertson,M,"Monday, October 26, 1981",Health physicist,5,Finance,Analysis,"Sunday, January 19, 2025","Sunday, June 20, 2021",-,Pending,57
37526547L,markrami,Richard,Diaz,M,"Tuesday, December 12, 2000","Surveyor, rural practice",4,HR,Admin,"Thursday, July 31, 2025","Wednesday, May 11, 2016",29/10/2024,New Employee,92
37842701M,carolyns,Karen,Rivera,F,"Sunday, March 22, 1998",Visual merchandiser,4,HR,Admin,"Thursday, October 19, 2023","Sunday, December 2, 2018",27/08/2023,Not Applicable,124
37947383L,mmckee,Jacob,Valentine,M,"Sunday, September 9, 1984",Prison officer,3,IT,Support,"Saturday, February 24, 2024","Saturday, June 15, 2024",21/05/2025,Transferred,35
38657191M,danafost,Kevin,Brown,M,"Wednesday, November 21, 1962","Conservator, furniture",3,HR,Support,"Monday, February 13, 2023","Monday, April 5, 2021",29/03/2024,Probation,28
39240758M,mitchell,Don,Whitehead,M,"Saturday, December 5, 1970",Data processing manager,3,IT,Logic,"Saturday, October 15, 2022","Sunday, July 30, 2023",16/11/2023,Not Applicable,93
39690784L,timothy6,Jesse,Barker,M,"Wednesday, March 17, 2004","Designer, industrial/product",6,IT,Analysis,"Tuesday, January 7, 2025","Friday, October 20, 2023",20/08/2022,Probation,194
39909169L,sarah35,Cynthia,Foster,F,"Wednesday, April 14, 1999",Hydrologist,4,IT,Support,"Thursday, July 8, 2021","Friday, January 22, 2016",18/10/2024,Not Applicable,7
40265423M,curtis61,Heather,Cooper,F,"Saturday, January 1, 2000","Geneticist, molecular",4,IMU,Analysis,"Wednesday, June 18, 2025","Tuesday, January 9, 2018",-,Transferred,32
40376137L,ricetiff,William,Peck,M,"Thursday, July 24, 1986",Consulting civil engineer,5,IT,Analysis,"Thursday, January 4, 2024","Wednesday, March 12, 2025",15/05/2022,Transferred,43
40515319L,dennis58,Gina,Day,F,"Sunday, April 21, 1985","Psychologist, forensic",7,IT,Admin,"Monday, January 17, 2022","Thursday, December 22, 2016",16/10/2024,Not Applicable,196
40748217M,danielle,Joyce,Turner,F,"Sunday, July 16, 1995",Music tutor,4,IT,Logic,"Thursday, December 1, 2022","Sunday, May 22, 2022",06/10/2025,Probation,76
41252866M,baileyhe,John,Medina,M,"Thursday, February 19, 1976",Early years teacher,4,Operations,Admin,"Friday, January 24, 2025","Saturday, October 24, 2020",03/02/2022,New Employee,29
41672434M,jennifer,Benjamin,Ewing,M,"Tuesday, September 26, 1989",Quality manager,4,Operations,Analysis,"Thursday, June 12, 2025","Monday, July 8, 2024",16/06/2024,Not Applicable,183
41832856L,collinss,Troy,Allen,M,"Tuesday, August 3, 1965",Financial risk analyst,3,IMU,Analysis,"Saturday, November 20, 2021","Sunday, August 13, 2023",14/05/2021,Probation,126
41928327L,veronica,Michael,Cameron,M,"Wednesday, February 27, 1974",Banker,5,HR,Logic,"Wednesday, August 2, 2023","Thursday, September 22, 2022",06/03/2023,Not Applicable,10
42199330M,danawill,Jason,Love,M,"Monday, February 23, 1998",Chiropodist,7,HR,Logic,"Thursday, July 31, 2025","Friday, August 3, 2018",12/05/2024,Transferred,46
43039117L,davidalv,Joshua,Baker,M,"Tuesday, August 7, 1984",Training and development officer,7,IT,Admin,"Friday, June 27, 2025","Sunday, April 28, 2019",-,Probation,115
43098050M,hshaw,Christopher,Yu,M,"Friday, October 27, 1972",Catering manager,5,HR,Logic,"Thursday, June 24, 2021","Tuesday, November 26, 2019",02/05/2024,Not Applicable,95
43102786L,greenjor,Jill,Davies,F,"Saturday, February 7, 2004",Higher education lecturer,7,IT,Admin,"Saturday, December 11, 2021","Sunday, March 18, 2018",13/07/2021,Transferred,61
43106903M,garciaar,Kyle,Warner,M,"Tuesday, June 16, 1970",Art therapist,4,HR,Logic,"Saturday, April 27, 2024","Monday, May 15, 2023",23/11/2022,New Employee,101
43292127M,kmaldona,Marvin,Downs,M,"Wednesday, November 12, 1969",IT trainer,6,Finance,Admin,"Thursday, August 22, 2024","Monday, January 23, 2017",20/11/2024,Transferred,9
43303654L,michael8,Michael,Anthony,M,"Sunday, September 11, 1983",Learning disability nurse,5,IMU,Logic,"Tuesday, February 14, 2023","Sunday, December 9, 2018",02/11/2025,Probation,187
43581128M,simsjaso,Mark,Lewis,M,"Monday, November 19, 1962",Photographer,5,IMU,Admin,"Sunday, June 22, 2025","Saturday, April 22, 2023",07/07/2021,New Employee,98
43699577L,williaml,Toni,Fitzgerald,F,"Wednesday, July 30, 1980",Chartered accountant,3,Finance,Support,"Saturday, September 11, 2021","Sunday, November 24, 2019",17/07/2023,New Employee,35
43748969M,hunteile,Ryan,Brooks,M,"Tuesday, February 19, 1991","Therapist, music",6,Operations,Support,"Saturday, June 10, 2023","Wednesday, September 27, 2017",-,Transferred,98
43842797L,armstron,Joshua,Ritter,M,"Thursday, February 15, 1962",Special effects artist,7,IMU,Analysis,"Saturday, July 19, 2025","Wednesday, August 14, 2019",07/07/2024,Not Applicable,109
44064090M,swall,Reginald,Hall,M,"Thursday, January 7, 1999",Management consultant,4,HR,Admin,"Thursday, January 12, 2023","Saturday, March 24, 2018",22/09/2021,Not Applicable,37
44198665L,kellyrob,Miguel,Reed,M,"Thursday, January 15, 1998",Private music teacher,5,Finance,Analysis,"Tuesday, September 20, 2022","Saturday, May 4, 2019",25/06/2025,Probation,34
44431351L,jamesrod,Destiny,Lawrence,F,"Thursday, October 11, 1990","Scientist, water quality",5,Operations,Support,"Sunday, October 3, 2021","Saturday, March 16, 2019",-,Probation,66
44796275L,acostarh,Lucas,Graham,M,"Tuesday, November 16, 2004",Barista,3,IMU,Analysis,"Thursday, December 28, 2023","Sunday, August 18, 2024",06/04/2022,Not Applicable,116
44905814M,xjohnson,Sandra,Jones,F,"Wednesday, November 13, 2002",Chemical engineer,6,Operations,Analysis,"Friday, November 1, 2024","Friday, October 10, 2025",13/08/2025,Not Applicable,163
45562386L,georgemi,Shelby,Harvey,F,"Friday, September 20, 1963",Financial adviser,4,IT,Admin,"Wednesday, November 16, 2022","Saturday, September 30, 2023",-,Probation,9
46291486L,lisa81,Matthew,Henderson,M,"Thursday, September 15, 1983",Medical illustrator,5,IMU,Support,"Wednesday, July 12, 2023","Thursday, December 20, 2018",21/09/2022,Probation,152
46774186L,nicole52,Jeremy,Baker,M,"Thursday, October 5, 1967","Psychologist, occupational",4,Finance,Admin,"Thursday, March 9, 2023","Wednesday, July 2, 2025",04/06/2021,New Employee,30
46799702L,mthomas,Michael,Morales,M,"Wednesday, November 11, 1987",Occupational hygienist,4,Finance,Admin,"Tuesday, April 27, 2021","Tuesday, December 26, 2023",-,Probation,84
48251353L,robert55,David,Carter,M,"Saturday, August 10, 1968",Commercial/residential surveyor,5,IT,Logic,"Wednesday, November 12, 2025","Thursday, October 9, 2025",04/07/2021,Transferred,81
49035213M,rpalmer,Edwin,Wilkins,M,"Monday, August 17, 1970",Ecologist,3,IMU,Analysis,"Sunday, September 29, 2024","Sunday, May 11, 2025",31/07/2025,New Employee,146
49818299L,donnale,Larry,Kirby,M,"Sunday, June 2, 1968","Surveyor, rural practice",4,IMU,Logic,"Wednesday, August 4, 2021","Saturday, September 3, 2016",-,Probation,47
49912165L,angela52,Christina,Hicks,F,"Saturday, April 26, 1997","Restaurant manager, fast food",5,IMU,Logic,"Thursday, March 25, 2021","Monday, March 26, 2018",-,Probation,92
50821486M,thompson,Curtis,Brown,M,"Wednesday, January 18, 1995",Amenity horticulturist,3,IT,Logic,"Tuesday, December 19, 2023","Tuesday, April 16, 2019",-,Probation,17
51694097M,jennifer,Christopher,Fuller,M,"Wednesday, December 19, 1984",Water quality scientist,6,IT,Admin,"Saturday, December 17, 2022","Thursday, June 9, 2016",08/10/2025,Not Applicable,7
51712368L,gibbsale,Joshua,Gibson,M,"Wednesday, December 26, 1979",Garment/textile technologist,3,Operations,Analysis,"Tuesday, January 23, 2024","Friday, September 29, 2017",-,New Employee,92
52408240M,heidi27,Brian,Smith,M,"Tuesday, May 20, 1975",Higher education careers adviser,3,IT,Analysis,"Saturday, August 24, 2024","Sunday, September 12, 2021",20/06/2022,Not Applicable,119
53001197L,chanchar,Misty,Conway,F,"Monday, August 10, 1992",Exercise physiologist,6,IT,Support,"Thursday, February 23, 2023","Thursday, October 19, 2023",29/04/2021,Not Applicable,115
54544432M,racheltr,Rebekah,Greene,F,"Monday, March 30, 1964",IT consultant,5,HR,Logic,"Monday, February 17, 2025","Saturday, December 5, 2020",09/02/2023,Transferred,89
54665905L,cody64,David,York,M,"Thursday, August 30, 1984",Toxicologist,5,HR,Support,"Thursday, August 5, 2021","Saturday, October 25, 2025",-,New Employee,173
54777252M,iwhite,Wanda,Bernard,F,"Friday, May 16, 1997","Scientist, research (physical sciences)",6,IMU,Logic,"Saturday, April 24, 2021","Monday, January 4, 2016",-,Transferred,126
55022961L,davisaly,James,Chavez,M,"Thursday, December 4, 1980","Designer, industrial/product",7,Finance,Support,"Tuesday, August 29, 2023","Tuesday, July 22, 2025",-,Pending,40
56218501M,marypete,Patricia,Friedman,F,"Saturday, September 7, 1996",Occupational psychologist,5,Finance,Logic,"Friday, March 24, 2023","Wednesday, July 26, 2023",27/01/2025,New Employee,46
56220863M,robertco,Devon,Miller,M,"Thursday, January 2, 1992",Microbiologist,7,IMU,Logic,"Sunday, June 5, 2022","Thursday, September 12, 2019",15/04/2025,Not Applicable,164
56798250L,phillips,Angelica,Guerra,F,"Wednesday, January 25, 1995",Curator,6,Finance,Support,"Thursday, October 26, 2023","Friday, August 25, 2023",29/08/2022,Transferred,47
56856624L,karenwel,Sarah,Turner,F,"Sunday, February 3, 1963",Cytogeneticist,4,IT,Logic,"Sunday, September 7, 2025","Saturday, December 3, 2022",11/06/2024,New Employee,88
57871331L,chapmanj,Daniel,Jones,M,"Tuesday, January 20, 1987",Barrister's clerk,6,HR,Logic,"Tuesday, March 2, 2021","Saturday, July 10, 2021",03/07/2021,New Employee,191
57875985L,hector59,Colleen,Huang,F,"Friday, December 6, 1985",Health visitor,6,IMU,Analysis,"Tuesday, May 27, 2025","Saturday, December 25, 2021",13/11/2025,New Employee,61
58300335L,curtisgo,Elizabeth,Brown,F,"Sunday, May 18, 1980",Armed forces technical officer,3,Finance,Support,"Friday, October 11, 2024","Tuesday, October 1, 2024",11/05/2025,Probation,74
58498254L,stephani,Chad,Brady,M,"Friday, September 11, 1998",Paramedic,6,IMU,Support,"Friday, December 24, 2021","Tuesday, February 27, 2018",09/01/2023,New Employee,101
58760366L,gateskat,Jamie,Smith,F,"Friday, August 21, 1987",Management consultant,3,Finance,Analysis,"Tuesday, June 18, 2024","Tuesday, January 21, 2025",18/07/2025,New Employee,169
58957829L,parkeryv,Nathan,Fox,M,"Saturday, September 9, 1961",Outdoor activities/education manager,3,Operations,Logic,"Sunday, December 19, 2021","Saturday, April 17, 2021",13/07/2021,Transferred,55
59514846M,jterry,Cameron,Fisher,M,"Sunday, February 6, 2005",Museum education officer,5,HR,Support,"Thursday, May 9, 2024","Saturday, March 22, 2025",-,Pending,145
59532787L,tyler16,Jonathan,Levy,M,"Thursday, October 8, 1970","Engineer, structural",3,Operations,Support,"Sunday, April 25, 2021","Wednesday, October 5, 2016",18/04/2023,Transferred,144
60993538L,qknox,Heather,Evans,F,"Monday, June 8, 1987","Doctor, hospital",7,Operations,Admin,"Friday, May 26, 2023","Monday, July 24, 2017",-,Transferred,106
61528098L,elizabet,Shane,Pugh,M,"Thursday, March 31, 1966",Pharmacologist,6,IMU,Support,"Sunday, July 23, 2023","Friday, November 19, 2021",12/10/2021,New Employee,35
62118233M,lisa46,Bob,Chung,M,"Friday, January 28, 1994",Psychiatric nurse,3,Operations,Admin,"Thursday, October 27, 2022","Friday, January 1, 2021",02/08/2021,Not Applicable,97
62890028L,ebooth,Paul,Flores,M,"Monday, June 6, 1983",Lawyer,6,Finance,Logic,"Tuesday, March 18, 2025","Monday, September 9, 2019",-,Transferred,199
64317139M,buchanan,Cameron,Cunningham,M,"Wednesday, January 8, 1964",Broadcast presenter,4,Operations,Admin,"Thursday, November 20, 2025","Monday, July 29, 2019",-,New Employee,189
65133387M,dwhite,Danielle,Leblanc,F,"Friday, January 10, 1964",Probation officer,6,Operations,Logic,"Saturday, May 1, 2021","Wednesday, February 5, 2025",-,Pending,168
65277584L,acostach,Lance,Short,M,"Saturday, October 28, 1989",Sports administrator,5,Finance,Support,"Saturday, October 9, 2021","Thursday, April 6, 2017",-,Probation,192
65861793L,cjones,Elizabeth,Flores,F,"Tuesday, June 15, 1993",Civil Service fast streamer,7,IMU,Support,"Saturday, May 7, 2022","Saturday, April 16, 2022",08/04/2022,Not Applicable,52
66687002L,pbruce,Rachel,Knight,F,"Wednesday, April 6, 1966",Chief of Staff,5,Operations,Logic,"Tuesday, November 8, 2022","Monday, July 1, 2019",20/09/2025,Transferred,154
67165726L,christin,Julie,Petersen,F,"Wednesday, October 5, 1960","Therapist, drama",5,Finance,Support,"Tuesday, December 27, 2022","Wednesday, May 17, 2017",10/04/2023,Transferred,85
67467621M,jarvisme,Brian,Pruitt,M,"Thursday, March 5, 1987",Radiation protection practitioner,7,Operations,Analysis,"Saturday, June 11, 2022","Thursday, May 12, 2022",14/12/2023,Not Applicable,134
68117758L,hayesjef,Lisa,Acosta,F,"Monday, March 19, 1984","Scientist, research (life sciences)",3,Finance,Analysis,"Monday, March 1, 2021","Wednesday, December 7, 2016",22/12/2024,Transferred,184
69003432M,keith10,Kathleen,Jordan,F,"Thursday, May 28, 1987","Conservation officer, nature",5,IT,Admin,"Wednesday, February 26, 2025","Wednesday, May 28, 2025",30/11/2023,Not Applicable,194
69681645L,kimberly,Madeline,Schmidt,F,"Wednesday, June 16, 1976","Engineer, biomedical",6,Finance,Support,"Saturday, February 26, 2022","Tuesday, December 3, 2019",-,Pending,179
69872050M,phillips,Kyle,Gonzalez,M,"Friday, April 12, 1963",Agricultural engineer,5,HR,Admin,"Saturday, May 20, 2023","Tuesday, April 18, 2017",-,Transferred,31
70952145L,ithompso,Richard,Walter,M,"Wednesday, December 3, 1980",Medical secretary,4,Operations,Support,"Wednesday, April 20, 2022","Thursday, April 9, 2020",-,Transferred,150
71167190L,lisaaver,Bradley,Wright,M,"Sunday, January 30, 1977","Surveyor, insurance",3,IT,Admin,"Tuesday, May 6, 2025","Monday, May 16, 2022",24/09/2024,Transferred,97
71210032M,owatson,Timothy,Miller,M,"Saturday, May 7, 1966",Theatre director,5,Finance,Logic,"Sunday, January 31, 2021","Friday, December 30, 2016",-,New Employee,173
71478596M,wmatthew,Harold,Ellis,M,"Tuesday, April 24, 1973",Drilling engineer,3,Finance,Logic,"Saturday, January 15, 2022","Thursday, March 25, 2021",-,Pending,87
71551884L,jennifer,Marcia,Leon,F,"Thursday, October 10, 1985",Rural practice surveyor,7,HR,Logic,"Thursday, August 11, 2022","Friday, April 6, 2018",30/11/2022,Transferred,196
71775140L,johnsonm,Ashley,Marsh,F,"Tuesday, August 9, 1983",Financial planner,3,Operations,Admin,"Tuesday, August 5, 2025","Friday, August 17, 2018",19/09/2023,Transferred,198
72099934L,eandrade,Antonio,Ramirez,M,"Monday, December 11, 1978","Copywriter, advertising",4,IT,Admin,"Friday, May 16, 2025","Friday, February 21, 2020",-,Pending,87
72151070L,zunderwo,Jon,Reyes,M,"Tuesday, November 11, 2003",Physiological scientist,3,HR,Support,"Friday, September 23, 2022","Thursday, January 31, 2019",-,Probation,196
